Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count,name,nmatches_1s,total_runs_1s,ballsFaced_1s,total_fours_1s,total_sixes_1s,mediansr_1s,nmatches_3s,total_runs_3s,ballsFaced_3s,total_fours_3s,total_sixes_3s,run_rate_3s
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2009,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2010,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2011,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2012,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2013,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2014,0,0,HH Pandya,0,0,0,0,0,0.0,0,0,0,0,0,
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2015,2,2,HH Pandya,8,112,62,9,8,129.635,8,112,62,9,8,10.838709677419354
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2016,0,2,HH Pandya,9,44,63,4,0,81.81,17,156,125,13,8,7.488
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2017,0,2,HH Pandya,16,250,160,11,20,147.775,33,406,285,24,28,8.547368421052632
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2018,1,1,HH Pandya,13,260,195,20,11,158.82,38,554,418,35,31,7.952153110047847
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2019,3,4,HH Pandya,15,402,210,28,29,163.15,44,912,565,59,60,9.684955752212389
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2020,0,4,HH Pandya,13,281,157,14,25,147.36,41,943,562,62,65,10.067615658362987
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2021,0,3,HH Pandya,11,127,112,11,5,94.44,39,810,479,53,59,10.146137787056368
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2022,2,2,HH Pandya,15,487,371,49,12,119.04,39,895,640,74,42,8.390625
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2023,0,2,HH Pandya,15,346,253,26,15,132.0,41,960,736,86,32,7.826086956521739
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians,2024,0,2,HH Pandya,11,198,134,16,10,120.0,41,1031,758,91,37,8.160949868073878
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2008,0,0,RG Sharma,12,404,273,38,19,135.5,12,404,273,38,19,8.87912087912088
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2009,2,2,RG Sharma,16,362,315,22,18,102.17,28,766,588,60,37,7.816326530612245
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2010,1,3,RG Sharma,16,404,302,36,14,115.43,44,1170,890,96,51,7.887640449438202
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2011,0,3,RG Sharma,14,372,297,32,13,111.11,46,1138,914,90,45,7.470459518599562
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2012,2,3,RG Sharma,16,433,342,39,18,86.60499999999999,46,1209,941,107,45,7.708820403825717
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2013,2,4,RG Sharma,19,538,409,35,28,121.42,49,1343,1048,106,59,7.688931297709924
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2014,1,5,RG Sharma,15,390,302,31,16,121.95,50,1361,1053,105,62,7.754985754985755
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2015,1,4,RG Sharma,16,482,333,41,21,132.85500000000002,50,1410,1044,107,65,8.10344827586207
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2016,4,6,RG Sharma,14,489,368,49,16,139.385,45,1361,1003,121,53,8.141575274177468
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2017,1,6,RG Sharma,16,333,273,31,9,104.165,46,1304,974,121,46,8.032854209445585
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2018,2,7,RG Sharma,14,286,215,25,12,105.0,44,1108,856,105,37,7.766355140186916
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2019,1,4,RG Sharma,15,405,315,52,10,133.33,45,1024,803,108,31,7.651307596513076
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2020,1,4,RG Sharma,12,332,260,27,19,116.25,41,1023,790,104,41,7.769620253164557
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2021,0,2,RG Sharma,13,381,299,33,14,128.0,40,1118,874,112,43,7.675057208237987
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2022,0,1,RG Sharma,14,268,223,28,13,126.96,39,981,782,88,46,7.5268542199488495
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2023,1,1,RG Sharma,16,332,250,35,17,129.36,43,981,772,96,44,7.624352331606218
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians,2024,0,1,RG Sharma,12,330,216,34,19,132.0,42,930,689,97,49,8.098693759071118
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2008,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2009,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2010,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2011,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
Tilak Varma,MI,AR,-,8.0,Mumbai Indians,2012,0,0,NT Tilak Varma,0,0,0,0,0,0.0,0,0,0,0,0,
