name,fullName,season,nmatchesbowl_1s,ballsdelivr_1s,total_maidens_1s,total_runscon_1s,total_wickets_1s,total_dots_1s,total_4sconc_1s,total_6sconc_1s,total_wides_1s,total_noballs_1s,median_econ_1s,nmatchesbowl_3s,ballsdelivr_3s,total_maidens_3s,total_runscon_3s,total_wickets_3s,total_dots_3s,total_4sconc_3s,total_6sconc_3s,total_wides_3s,total_noballs_3s,economyRate_1s,economyRate_3s
A Dananjaya,Akila Dananjaya,2012,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2013,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2014,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2015,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2016,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2017,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2018,1,24,0,47,0,6,2,4,1,0,11.75,1,24,0,47,0,6,2,4,1,0,11.75,11.75
A Dananjaya,Akila Dananjaya,2019,0,0,0,0,0,0,0,0,0,0,0.0,1,24,0,47,0,6,2,4,1,0,,11.75
A Dananjaya,Akila Dananjaya,2020,0,0,0,0,0,0,0,0,0,0,0.0,1,24,0,47,0,6,2,4,1,0,,11.75
A Dananjaya,Akila Dananjaya,2021,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2022,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2023,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Dananjaya,Akila Dananjaya,2024,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2008,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2009,3,66,0,105,2,21,7,7,0,0,11.0,3,66,0,105,2,21,7,7,0,0,9.545454545454545,9.545454545454545
A Flintoff,Andrew Flintoff,2010,0,0,0,0,0,0,0,0,0,0,0.0,3,66,0,105,2,21,7,7,0,0,,9.545454545454545
A Flintoff,Andrew Flintoff,2011,0,0,0,0,0,0,0,0,0,0,0.0,3,66,0,105,2,21,7,7,0,0,,9.545454545454545
A Flintoff,Andrew Flintoff,2012,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2013,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2014,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2015,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2016,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2017,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2018,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2019,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2020,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2021,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2022,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2023,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Flintoff,Andrew Flintoff,2024,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2008,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2009,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2010,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2011,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2012,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2013,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2014,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2015,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2016,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2017,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Kamboj,Anshul Kamboj,2018,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
