Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2011,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2012,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2013,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2014,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2015,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2016,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2017,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2018,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2019,0,0
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2020,1,1
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2021,0,1
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2022,1,2
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2023,0,1
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad,2024,0,1
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2008,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2009,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2010,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2011,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2012,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2013,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2014,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2015,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2016,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2017,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2018,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2019,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2020,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2021,0,0
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2022,1,1
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2023,0,1
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad,2024,3,4
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2008,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2009,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2010,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2011,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2012,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2013,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2014,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2015,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2016,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2017,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2018,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2019,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2020,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2021,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2022,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2023,0,0
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad,2024,3,3
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2008,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2009,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2010,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2011,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2012,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2013,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2014,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2015,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2016,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2017,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2018,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2019,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2020,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2021,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2022,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2023,0,0
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad,2024,1,1
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2008,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2009,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2010,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2011,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2012,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2013,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2014,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2015,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2016,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2017,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2018,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2019,0,0
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2020,3,3
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2021,4,7
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2022,1,8
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2023,2,7
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings,2024,1,4
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings,2008,0,0
