Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count,name,nmatches_1s,total_runs_1s,ballsFaced_1s,total_fours_1s,total_sixes_1s,mediansr_1s,nmatches_3s,total_runs_3s,ballsFaced_3s,total_fours_3s,total_sixes_3s,run_rate_3s,nmatchesbowl_1s,ballsdelivr_1s,total_maidens_1s,total_runscon_1s,total_wickets_1s,total_dots_1s,total_4sconc_1s,total_6sconc_1s,total_wides_1s,total_noballs_1s,median_econ_1s,nmatchesbowl_3s,ballsdelivr_3s,total_maidens_3s,total_runscon_3s,total_wickets_3s,total_dots_3s,total_4sconc_3s,total_6sconc_3s,total_wides_3s,total_noballs_3s,economyRate_1s,economyRate_3s
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2016,0,0,JJ Bumrah,2,8,11,1,0,83.33,5,9,14,1,0,3.857142857142857,14,312,0,406,15,115,33,13,6,4,7.875,29,640,1,891,23,237,77,34,20,6,7.8076923076923075,8.353125
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2017,1,1,JJ Bumrah,2,16,12,0,1,72.725,5,24,23,1,1,6.260869565217392,16,356,2,440,20,130,36,9,2,7,7.25,34,758,2,1030,38,269,81,35,15,12,7.415730337078652,8.153034300791557
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2018,1,2,JJ Bumrah,3,10,11,1,0,80.0,7,34,34,2,1,6.0,14,324,0,372,17,133,31,11,7,2,6.875,44,992,2,1218,52,378,100,33,15,13,6.888888888888889,7.366935483870968
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2019,3,5,JJ Bumrah,3,0,1,0,0,0.0,8,26,24,1,1,6.5,16,370,1,409,19,169,41,10,4,4,6.01,46,1050,3,1221,56,432,108,30,13,13,6.632432432432433,6.977142857142857
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2020,1,5,JJ Bumrah,1,5,3,0,0,166.66,7,15,15,1,0,6.0,15,360,2,404,27,175,37,13,11,1,6.25,45,1054,3,1185,63,477,109,34,22,7,6.733333333333333,6.74573055028463
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2021,0,4,JJ Bumrah,7,16,17,2,0,83.33,11,21,21,2,0,6.0,14,330,0,410,21,142,36,11,12,5,7.125,45,1060,3,1223,67,486,114,34,27,10,7.454545454545454,6.922641509433962
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2022,2,3,JJ Bumrah,6,0,8,0,0,0.0,14,21,28,2,0,4.5,14,320,2,383,15,139,37,11,6,1,7.125,43,1010,4,1197,63,456,110,35,29,7,7.18125,7.110891089108911
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2023,0,2,JJ Bumrah,0,0,0,0,0,0.0,13,16,25,2,0,3.84,0,0,0,0,0,0,0,0,0,0,0.0,28,650,2,793,36,281,73,22,18,6,,7.32
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians,2024,2,4,JJ Bumrah,4,12,12,1,0,100.0,10,12,20,1,0,3.6,12,287,0,297,18,139,24,8,13,4,5.625,26,607,2,680,33,278,61,19,19,5,6.209059233449477,6.72158154859967
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2008,0,0,SA Yadav,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2009,0,0,SA Yadav,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2010,0,0,SA Yadav,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2011,0,0,SA Yadav,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2012,0,0,SA Yadav,1,0,4,0,0,0.0,1,0,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2013,0,0,SA Yadav,0,0,0,0,0,0.0,1,0,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2014,0,0,SA Yadav,10,164,117,16,5,153.0,11,164,121,16,5,8.132231404958677,1,6,0,8,0,2,1,0,0,0,8.0,1,6,0,8,0,2,1,0,0,0,8.0,8.0
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2015,0,0,SA Yadav,13,157,113,12,8,100.0,23,321,230,28,13,8.373913043478261,0,0,0,0,0,0,0,0,0,0,0.0,1,6,0,8,0,2,1,0,0,0,,8.0
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2016,1,1,SA Yadav,11,182,143,18,5,123.52,34,503,373,46,18,8.091152815013405,0,0,0,0,0,0,0,0,0,0,0.0,1,6,0,8,0,2,1,0,0,0,,8.0
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2017,0,1,SA Yadav,7,105,88,8,3,113.33,31,444,344,38,16,7.744186046511628,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2018,1,2,SA Yadav,14,512,384,61,16,132.56,32,799,615,87,24,7.795121951219512,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2019,1,2,SA Yadav,15,424,324,45,10,135.29,36,1041,796,114,29,7.846733668341709,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2020,2,4,SA Yadav,15,480,331,61,11,134.21,44,1416,1039,167,37,8.177093358999038,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2021,0,3,SA Yadav,14,317,221,40,10,130.85,44,1221,876,146,31,8.363013698630137,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians,2022,1,3,SA Yadav,8,303,208,23,16,140.18,37,1100,760,124,37,8.68421052631579,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
