Players,Team,Type,Base,Sold,Team_Name
Rajvardhan Hangargekar,LSG,AR,0.30,0.3,Lucknow Super Giants
Arshin Kulkarni,LSG,AR,0.30,0.3,Lucknow Super Giants
Ashwani Kumar,MI,BOWL,0.30,0.3,Mumbai Indians
Akash Singh,LSG,BOWL,0.30,0.3,Lucknow Super Giants
Gurjapneet Singh,CSK,BOWL,0.30,2.2,Chennai Super Kings
Matthew Breetzke,LSG,BAT,0.75,0.75,Lucknow Super Giants
Mitchell Santner,MI,AR,2.00,2.0,Mumbai Indians
Jayant Yadav,GT,AR,0.75,0.75,Gujarat Titans
Fazalhaq Farooqi,RR,BOWL,2.00,2.0,Rajasthan Royals
Kwena Maphaka,RR,BOWL,0.75,1.5,Rajasthan Royals
Kuldeep Sen,PBKS,BOWL,0.75,0.8,Punjab Kings
Reece Topley,MI,BOWL,0.75,0.75,Mumbai Indians
Lizaad Williams,MI,BOWL,0.75,0.75,Mumbai Indians
Priyansh Arya,PBKS,AR,0.30,3.8,Punjab Kings
Manoj Bhandage,RCB,AR,0.30,0.3,Royal Challengers Bengaluru
Praveen Dubey,PBKS,AR,0.30,0.3,Punjab Kings
Ajay Mandal,DC,AR,0.30,0.3,Delhi Capitals
Vipraj Nigam,DC,AR,0.30,0.5,Delhi Capitals
Krishnan Shrijith,MI,BAT,0.30,0.3,Mumbai Indians
Mohit Rathee,RCB,BOWL,0.30,0.3,Royal Challengers Bengaluru
Jacob Bethell,RCB,AR,1.25,2.6,Royal Challengers Bengaluru
Brydon Carse,SRH,AR,1.00,1.0,Sunrisers Hyderabad
Aaron Hardie,PBKS,AR,1.25,1.25,Punjab Kings
Kamindu Mendis,SRH,AR,0.75,0.75,Sunrisers Hyderabad
Dushmantha Chameera,DC,BOWL,0.75,0.75,Delhi Capitals
Nathan Ellis,CSK,BOWL,1.25,2.0,Chennai Super Kings
Shamar Joseph,LSG,BOWL,0.75,0.75,Lucknow Super Giants
Aniket Verma,SRH,BAT,0.30,0.3,Sunrisers Hyderabad
Raj Bawa,MI,AR,0.30,0.3,Mumbai Indians
Musheer Khan,PBKS,AR,0.30,0.3,Punjab Kings
Manvanth Kumar,DC,AR,0.30,0.3,Delhi Capitals
Suryansh Shedge,PBKS,AR,0.30,0.3,Punjab Kings
Kulwant Khejroliya,GT,BOWL,0.30,0.3,Gujarat Titans
Prince Yadav,LSG,BOWL,0.30,0.3,Lucknow Super Giants
Jamie Overton,CSK,AR,1.50,1.5,Chennai Super Kings
Xavier Bartlett,PBKS,BOWL,0.75,0.8,Punjab Kings
Lungi Ngidi,RCB,BOWL,1.00,1.0,Royal Challengers Bengaluru
Yuvraj Chaudhary,LSG,AR,0.30,0.3,Lucknow Super Giants
Kamlesh Nagarkoti,CSK,AR,0.30,0.3,Chennai Super Kings
Abhinandan Singh,RCB,BOWL,0.30,0.3,Royal Challengers Bengaluru
Karim Janat,GT,AR,0.75,0.75,Gujarat Titans
Pyla Avinash,PBKS,BAT,0.30,0.3,Punjab Kings
Ramakrishna Ghosh,CSK,AR,0.30,0.3,Chennai Super Kings
Satyanarayana Raju,MI,BOWL,0.30,0.3,Mumbai Indians
Bevon Jacobs,MI,BAT,0.30,0.3,Mumbai Indians
Ashok Sharma,RR,BOWL,0.30,0.3,Rajasthan Royals
Vaibhav Suryavanshi,RR,BAT,0.30,1.1,Rajasthan Royals
Eshan Malinga,SRH,BOWL,0.30,1.2,Sunrisers Hyderabad
Tripurana Vijay,DC,AR,0.30,0.3,Delhi Capitals
Madhav Tiwari,DC,AR,0.30,0.4,Delhi Capitals
Vignesh Puthur,MI,AR,0.30,0.3,Mumbai Indians
Jofra Archer,RR,BOWL,2.00,12.5,Rajasthan Royals
