pom,season,pom_s1count,pom_s3count
Amit Singh,2019,0,0
Amit Singh,2020,0,0
Amit Singh,2021,0,0
Amit Singh,2022,0,0
Amit Singh,2023,0,0
Amit Singh,2024,0,0
Andre Russell,2008,0,0
Andre Russell,2009,0,0
Andre Russell,2010,0,0
Andre Russell,2011,0,0
Andre Russell,2012,0,0
Andre Russell,2013,0,0
Andre Russell,2014,0,0
Andre Russell,2015,3,3
Andre Russell,2016,3,6
Andre Russell,2017,0,6
Andre Russell,2018,1,4
Andre Russell,2019,4,5
Andre Russell,2020,0,5
Andre Russell,2021,0,4
Andre Russell,2022,1,1
Andre Russell,2023,1,2
Andre Russell,2024,2,4
Andrew Symonds,2008,0,0
Andrew Symonds,2009,0,0
Andrew Symonds,2010,3,3
Andrew Symonds,2011,0,3
Andrew Symonds,2012,0,3
Andrew Symonds,2013,0,0
Andrew Symonds,2014,0,0
Andrew Symonds,2015,0,0
Andrew Symonds,2016,0,0
Andrew Symonds,2017,0,0
Andrew Symonds,2018,0,0
Andrew Symonds,2019,0,0
Andrew Symonds,2020,0,0
Andrew Symonds,2021,0,0
Andrew Symonds,2022,0,0
Andrew Symonds,2023,0,0
Andrew Symonds,2024,0,0
Andrew Tye,2008,0,0
Andrew Tye,2009,0,0
Andrew Tye,2010,0,0
Andrew Tye,2011,0,0
Andrew Tye,2012,0,0
Andrew Tye,2013,0,0
Andrew Tye,2014,0,0
Andrew Tye,2015,0,0
Andrew Tye,2016,0,0
Andrew Tye,2017,2,2
Andrew Tye,2018,0,2
Andrew Tye,2019,0,2
Andrew Tye,2020,0,0
Andrew Tye,2021,0,0
Andrew Tye,2022,0,0
Andrew Tye,2023,0,0
Andrew Tye,2024,0,0
Angelo Mathews,2008,0,0
Angelo Mathews,2009,0,0
Angelo Mathews,2010,1,1
Angelo Mathews,2011,0,1
Angelo Mathews,2012,0,1
Angelo Mathews,2013,0,0
Angelo Mathews,2014,0,0
Angelo Mathews,2015,0,0
Angelo Mathews,2016,0,0
Angelo Mathews,2017,0,0
Angelo Mathews,2018,0,0
Angelo Mathews,2019,0,0
Angelo Mathews,2020,0,0
Angelo Mathews,2021,0,0
Angelo Mathews,2022,0,0
Angelo Mathews,2023,0,0
Angelo Mathews,2024,0,0
Anil Kumble,2008,1,1
Anil Kumble,2009,1,2
Anil Kumble,2010,1,3
Anil Kumble,2011,0,2
Anil Kumble,2012,0,1
Anil Kumble,2013,0,0
Anil Kumble,2014,0,0
Anil Kumble,2015,0,0
Anil Kumble,2016,0,0
